GISYEARJOIN,IDyear_x,LAT,LON,AREA,Nviolations,Was complaint,Inspection Number,CrimeIsArson,CrimeIsOther,Structure_fire,Vehicle_fire,External_fire,Year Property Built,Assessed Land Value,Number of Units,Lot Area,COMH,COMM,COMO,COMR,GOVT,IND,MISC,MRES,SRES,UnkownUseType,A,B,C,D,S,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008,H8C001,H8C002,H8C003,H8C004,H8C005,H8C006,H8C007,H8C008,H8C009,IFC001,IFF001,IFF002,IFF003,IFF004,Urban,SF_pred,VF_pred,EF_pred,minyr,maxyr,sdyr,resunits
G060075006140010112017,2017,37.7525398,-122.40259329999999,5488.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075006010011632017,2017,37.791386200000005,-122.4702265,12225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075001710120032017,2017,37.7632963,-122.44553729999998,1506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075003070030102017,2017,37.735271399999995,-122.4546301,37458.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1959.3870967741934,365291.46774193546,1.0,3740.725806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,161,90,7,0,57,0,1,6,73,40,35,5,2,3,33,25,8,76,73,44,20,9,1,0.0,0.0,0.0,1928.0,2005.0,13.213192970227471,75.0
G060075003070010222017,2017,37.738643700000004,-122.44971240000001,22824.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075003070010172017,2017,37.7403196,-122.44779479999998,19168.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1941.71186440678,324841.0847457627,1.0,2544.4576271186443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,132,95,3,0,28,0,1,5,54,31,27,4,1,3,23,10,13,59,54,33,12,9,1,0.0,0.0,0.0,1938.0,1961.0,3.7234154114367968,59.0
G060075003070010202017,2017,37.740852000000004,-122.45154690000001,19872.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1938.854166666667,371795.0625,1.0,3421.979166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,103,76,0,0,20,0,2,5,47,25,22,3,0,3,22,12,10,48,47,28,11,8,1,0.0,0.0,0.0,1930.0,1951.0,9.980810488842339,48.0
G060075001800010122017,2017,37.7786342,-122.3937934,2952.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1955.0,37641.0,0.0,3702.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1919.0,1955.0,18.036999011291552,3.0
G060075006070010152017,2017,37.7760631,-122.39145570000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075006150040122017,2017,37.78451810000001,-122.39400490000001,16014.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,148,74,24,0,19,1,13,17,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0.0,0.0,1.0,1900.0,1999.0,36.907219580223796,7.0
G060075001770010002017,2017,37.769117,-122.4050388,2475.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075006070020042017,2017,37.767924900000004,-122.4043149,12476.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1983.0,1998.0,7.767453465154006,3.0
G060075006070020122017,2017,37.766536200000004,-122.4033322,7800.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075006070020142017,2017,37.7653416,-122.4040726,12408.0,0.0,0.0,1.0,1.0,36.0,0.0,0.0,1.0,1970.0,76516.0,1.0,4996.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1912.0,1984.0,21.36377106893149,8.0
G060075006070020112017,2017,37.7669753,-122.40303130000001,4401.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075006070020232017,2017,37.765515,-122.4011771,12284.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1941.0,1951.0,7.071067811865476,2.0
G060075002270410032017,2017,37.7641125,-122.4029862,12147.0,0.0,0.0,1.0,0.0,104.0,0.0,1.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,235,122,6,2,91,0,3,11,144,42,35,7,3,4,102,74,28,153,144,107,6,31,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075002270410132017,2017,37.7630412,-122.3994861,24184.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,1984.25,12638.5,0.875,2177.625,0.0,0.625,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0,0,2,1,0.0,0.0,0.0,1939.0,1992.0,18.241361044265638,14.0
G060075006070010532017,2017,37.770631,-122.3926914,133164.0,6.0,1.0,7.0,0.0,47.0,2.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,63,30,2,0,23,0,1,7,35,12,12,0,0,0,23,18,5,36,35,0,0,35,1,1.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
